composition,hardness,load,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar
Zr0.2W0.8B4,33.95939562,4.9,3,0.816823114,0.802160825,0.800051243,0.800001463,0.800000008,17.44,69,19.904,74,5,5,67.52,28,7.168,72,44,72,41.71216,173.029,49.441856,183.84,10.811,10.811,2554.72,1567,364.8896,3695,2128,2348,11.52,9,2.368,13,4,13,2.76,4,1.216,6,2,2,100.12,91,25.792,175,84,84,2.0628,1.03,0.095104,2.36,1.33,2.04,2,0,0,2,2,2,0.8,1,0.32,1,0,1,0.72,4,1.152,4,0,0,2.24,14,3.7632,14,0,0,5.76,17,4.5568,20,3,3,0,0,0,0,0,0,4,5,1.6,5,0,5,1.28,8,2.048,8,0,0,0,0,0,0,0,0,5.28,3,0.448,8,5,5,9.2338,16.0225,3.29808,23.195,7.1725,7.1725,1.2192,1.524,0.48768,1.524,0,1.524,0,0,0,0,0,0,177.2,63,17.92,229,166,166,0.347222222,0.138888889,0.125,0.388888889,0,0.232966652,0.017030459
Zr0.33W0.67 ,6.13,1.96,2,0.746860094,0.695687776,0.673839922,0.670671036,0.670056273,62.78,34,15.0348,74,40,74,48.69,7,3.0954,51,44,51,153.27672,92.616,40.9547952,183.84,91.224,183.84,3177.89,1567,692.9274,3695,2128,3695,5.34,2,0.8844,6,4,6,5.67,1,0.4422,6,5,6,166.29,13,5.7486,175,162,162,2.0201,1.03,0.455466,2.36,1.33,2.36,2,0,0,2,2,2,0,0,0,0,0,0,3.34,2,0.8844,4,2,4,9.38,14,6.1908,14,0,14,14.72,16,7.0752,20,4,20,0,0,0,0,0,0,0,0,0,0,0,0,6.66,2,0.8844,8,6,6,0,0,0,0,0,0,6.66,2,0.8844,8,6,6,18.40785,7.145,3.159519,23.195,16.05,16.05,0,0,0,0,0,0,0,0,0,0,0,0,217.45,35,15.477,229,194,229,0.135869565,0,0.226902174,0.637228261,0,0.232966652,0.103017853
Zr0.5Gd0.5B12,42,0.49,3,0.924678098,0.923121437,0.923076969,0.923076923,0.923076923,8.615384615,59,6.674556213,64,5,5,69.19230769,45,5.183431953,72,27,72,19.53607692,146.439,16.10783432,157.25,10.811,10.811,2310.230769,762,69.72781065,2348,1586,2348,12.26923077,10,1.349112426,13,3,13,2.269230769,4,0.49704142,6,2,2,91.80769231,112,14.41420118,196,84,84,1.980384615,0.84,0.110059172,2.04,1.2,2.04,2,0,0,2,2,2,0.923076923,1,0.142011834,1,0,1,0.115384615,2,0.213017751,2,0,0,0.269230769,7,0.517751479,7,0,0,3.307692308,7,0.568047337,10,3,3,0,0,0,0,0,0,4.615384615,5,0.710059172,5,0,5,0.653846154,9,1.207100592,9,0,0,0.269230769,7,0.517751479,7,0,0,5.538461538,11,0.99408284,16,5,5,8.745576923,24.8775,2.904142012,32.05,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,168.1538462,28,3.976331361,194,166,166,0.604651163,0.279069767,0.034883721,0.081395349,0,0.161717397,0.019902977
Zr0.5Gd0.5B12,34.5,0.98,3,0.924678098,0.923121437,0.923076969,0.923076923,0.923076923,8.615384615,59,6.674556213,64,5,5,69.19230769,45,5.183431953,72,27,72,19.53607692,146.439,16.10783432,157.25,10.811,10.811,2310.230769,762,69.72781065,2348,1586,2348,12.26923077,10,1.349112426,13,3,13,2.269230769,4,0.49704142,6,2,2,91.80769231,112,14.41420118,196,84,84,1.980384615,0.84,0.110059172,2.04,1.2,2.04,2,0,0,2,2,2,0.923076923,1,0.142011834,1,0,1,0.115384615,2,0.213017751,2,0,0,0.269230769,7,0.517751479,7,0,0,3.307692308,7,0.568047337,10,3,3,0,0,0,0,0,0,4.615384615,5,0.710059172,5,0,5,0.653846154,9,1.207100592,9,0,0,0.269230769,7,0.517751479,7,0,0,5.538461538,11,0.99408284,16,5,5,8.745576923,24.8775,2.904142012,32.05,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,168.1538462,28,3.976331361,194,166,166,0.604651163,0.279069767,0.034883721,0.081395349,0,0.161717397,0.019902977
Zr0.5Gd0.5B12,33,1.96,3,0.924678098,0.923121437,0.923076969,0.923076923,0.923076923,8.615384615,59,6.674556213,64,5,5,69.19230769,45,5.183431953,72,27,72,19.53607692,146.439,16.10783432,157.25,10.811,10.811,2310.230769,762,69.72781065,2348,1586,2348,12.26923077,10,1.349112426,13,3,13,2.269230769,4,0.49704142,6,2,2,91.80769231,112,14.41420118,196,84,84,1.980384615,0.84,0.110059172,2.04,1.2,2.04,2,0,0,2,2,2,0.923076923,1,0.142011834,1,0,1,0.115384615,2,0.213017751,2,0,0,0.269230769,7,0.517751479,7,0,0,3.307692308,7,0.568047337,10,3,3,0,0,0,0,0,0,4.615384615,5,0.710059172,5,0,5,0.653846154,9,1.207100592,9,0,0,0.269230769,7,0.517751479,7,0,0,5.538461538,11,0.99408284,16,5,5,8.745576923,24.8775,2.904142012,32.05,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,168.1538462,28,3.976331361,194,166,166,0.604651163,0.279069767,0.034883721,0.081395349,0,0.161717397,0.019902977
Zr0.5Gd0.5B12,31.8,2.94,3,0.924678098,0.923121437,0.923076969,0.923076923,0.923076923,8.615384615,59,6.674556213,64,5,5,69.19230769,45,5.183431953,72,27,72,19.53607692,146.439,16.10783432,157.25,10.811,10.811,2310.230769,762,69.72781065,2348,1586,2348,12.26923077,10,1.349112426,13,3,13,2.269230769,4,0.49704142,6,2,2,91.80769231,112,14.41420118,196,84,84,1.980384615,0.84,0.110059172,2.04,1.2,2.04,2,0,0,2,2,2,0.923076923,1,0.142011834,1,0,1,0.115384615,2,0.213017751,2,0,0,0.269230769,7,0.517751479,7,0,0,3.307692308,7,0.568047337,10,3,3,0,0,0,0,0,0,4.615384615,5,0.710059172,5,0,5,0.653846154,9,1.207100592,9,0,0,0.269230769,7,0.517751479,7,0,0,5.538461538,11,0.99408284,16,5,5,8.745576923,24.8775,2.904142012,32.05,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,168.1538462,28,3.976331361,194,166,166,0.604651163,0.279069767,0.034883721,0.081395349,0,0.161717397,0.019902977
Zr0.5Gd0.5B12,29.2,4.9,3,0.924678098,0.923121437,0.923076969,0.923076923,0.923076923,8.615384615,59,6.674556213,64,5,5,69.19230769,45,5.183431953,72,27,72,19.53607692,146.439,16.10783432,157.25,10.811,10.811,2310.230769,762,69.72781065,2348,1586,2348,12.26923077,10,1.349112426,13,3,13,2.269230769,4,0.49704142,6,2,2,91.80769231,112,14.41420118,196,84,84,1.980384615,0.84,0.110059172,2.04,1.2,2.04,2,0,0,2,2,2,0.923076923,1,0.142011834,1,0,1,0.115384615,2,0.213017751,2,0,0,0.269230769,7,0.517751479,7,0,0,3.307692308,7,0.568047337,10,3,3,0,0,0,0,0,0,4.615384615,5,0.710059172,5,0,5,0.653846154,9,1.207100592,9,0,0,0.269230769,7,0.517751479,7,0,0,5.538461538,11,0.99408284,16,5,5,8.745576923,24.8775,2.904142012,32.05,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,168.1538462,28,3.976331361,194,166,166,0.604651163,0.279069767,0.034883721,0.081395349,0,0.161717397,0.019902977
Zr0.5Hf0.25Gd0.25B20,43.7,0.49,4,0.952827276,0.952387153,0.952380954,0.952380952,0.952380952,7.333333333,67,4.444444444,72,5,5,70.47619048,45,2.902494331,72,27,72,16.46509524,167.679,10.76970522,178.49,10.811,10.811,2335.571429,920,27.73129252,2506,1586,2348,12.55952381,10,0.839002268,13,3,13,2.166666667,4,0.317460317,6,2,2,88.58333333,112,8.73015873,196,84,84,2.004285714,0.84,0.068027211,2.04,1.2,2.04,2,0,0,2,2,2,0.952380952,1,0.090702948,1,0,1,0.083333333,2,0.158730159,2,0,0,0.25,14,0.488095238,14,0,0,3.285714286,15,0.544217687,18,3,3,0,0,0,0,0,0,4.761904762,5,0.453514739,5,0,5,0.392857143,9,0.74829932,9,0,0,0.083333333,7,0.16468254,7,0,0,5.238095238,11,0.453514739,16,5,5,8.029047619,24.8775,1.631519274,32.05,7.1725,7.1725,1.451428571,1.524,0.138231293,1.524,0,1.524,0,0,0,0,0,0,167.3333333,28,2.53968254,194,166,166,0.608695652,0.289855072,0.025362319,0.076086957,0,0.161717397,0.011941419
Zr0.5Hf0.25Gd0.25B20,36.9,0.98,4,0.952827276,0.952387153,0.952380954,0.952380952,0.952380952,7.333333333,67,4.444444444,72,5,5,70.47619048,45,2.902494331,72,27,72,16.46509524,167.679,10.76970522,178.49,10.811,10.811,2335.571429,920,27.73129252,2506,1586,2348,12.55952381,10,0.839002268,13,3,13,2.166666667,4,0.317460317,6,2,2,88.58333333,112,8.73015873,196,84,84,2.004285714,0.84,0.068027211,2.04,1.2,2.04,2,0,0,2,2,2,0.952380952,1,0.090702948,1,0,1,0.083333333,2,0.158730159,2,0,0,0.25,14,0.488095238,14,0,0,3.285714286,15,0.544217687,18,3,3,0,0,0,0,0,0,4.761904762,5,0.453514739,5,0,5,0.392857143,9,0.74829932,9,0,0,0.083333333,7,0.16468254,7,0,0,5.238095238,11,0.453514739,16,5,5,8.029047619,24.8775,1.631519274,32.05,7.1725,7.1725,1.451428571,1.524,0.138231293,1.524,0,1.524,0,0,0,0,0,0,167.3333333,28,2.53968254,194,166,166,0.608695652,0.289855072,0.025362319,0.076086957,0,0.161717397,0.011941419
Zr0.5Hf0.25Gd0.25B20,34.3,1.96,4,0.952827276,0.952387153,0.952380954,0.952380952,0.952380952,7.333333333,67,4.444444444,72,5,5,70.47619048,45,2.902494331,72,27,72,16.46509524,167.679,10.76970522,178.49,10.811,10.811,2335.571429,920,27.73129252,2506,1586,2348,12.55952381,10,0.839002268,13,3,13,2.166666667,4,0.317460317,6,2,2,88.58333333,112,8.73015873,196,84,84,2.004285714,0.84,0.068027211,2.04,1.2,2.04,2,0,0,2,2,2,0.952380952,1,0.090702948,1,0,1,0.083333333,2,0.158730159,2,0,0,0.25,14,0.488095238,14,0,0,3.285714286,15,0.544217687,18,3,3,0,0,0,0,0,0,4.761904762,5,0.453514739,5,0,5,0.392857143,9,0.74829932,9,0,0,0.083333333,7,0.16468254,7,0,0,5.238095238,11,0.453514739,16,5,5,8.029047619,24.8775,1.631519274,32.05,7.1725,7.1725,1.451428571,1.524,0.138231293,1.524,0,1.524,0,0,0,0,0,0,167.3333333,28,2.53968254,194,166,166,0.608695652,0.289855072,0.025362319,0.076086957,0,0.161717397,0.011941419
