composition,hardness,load,NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar
Ag0.05Gd0.048Pd0.902,1.81,0.49,3,0.904659052,0.902096512,0.902000171,0.902,0.902,46.914,18,1.648856,64,46,46,60.47,38,3.21312,65,27,62,108.93225,50.83,4.638504,157.25,106.42,106.42,1786.7756,593.12,74.4590176,1828.05,1234.93,1828.05,9.714,8,0.644544,11,3,10,5.048,1,0.091392,6,5,5,142.036,57,5.476944,196,139,139,2.1385,1,0.110946,2.2,1.2,2.2,0.146,2,0.263384,2,0,0,0,0,0,0,0,0,9.568,9,0.822528,10,1,10,0.336,7,0.639744,7,0,0,10.05,1,0.095,11,10,10,0.05,1,0.095,1,0,0,0,0,0,0,0,0,0.432,9,0.822528,9,0,0,0.336,7,0.639744,7,0,0,0.818,16,1.475672,16,0,0,15.35272,17.64,1.70066688,32.05,14.41,14.41,0,0,0,0,0,0,0,0,0,0,0,0,223.512,31,2.833152,225,194,225,0.014527363,0,0.952039801,0.033432836,0,0.221199217,0.021381801
Ag0.05Y0.048Pd0.902,1.64,0.49,3,0.904659052,0.902096512,0.902000171,0.902,0.902,45.714,8,0.644544,47,39,46,59.75,53,4.584,65,12,62,105.6517308,18.96235,1.607604557,107.8682,88.90585,106.42,1796.9996,593.12,56.20696,1828.05,1234.93,1828.05,9.714,8,0.644544,11,3,10,5,0,0,5,5,5,141.748,51,4.957392,190,139,139,2.13946,0.98,0.10921416,2.2,1.22,2.2,0.146,2,0.263384,2,0,0,0,0,0,0,0,0,9.568,9,0.822528,10,1,10,0,0,0,0,0,0,9.714,8,0.644544,11,3,10,0.05,1,0.095,1,0,0,0,0,0,0,0,0,0.432,9,0.822528,9,0,0,0,0,0,0,0,0,0.482,9,0.869528,9,0,0,15.36784,17.955,1.72794336,32.365,14.41,14.41,0,0,0,0,0,0,0,0,0,0,0,0,223.512,31,2.833152,225,194,225,0.015029854,0,0.984970146,0,0,0.213450798,0.020680492
Ag0.25Pb0.5Sb0.25Te,0.578,2.94,4,0.58630197,0.524792057,0.503277073,0.500564837,0.500048902,58.75,35,11.625,82,47,52,84,25,6.25,90,65,90,144.303525,99.3318,31.4482375,207.2,107.8682,127.6,778.82125,634.32,145.266875,1234.93,600.61,722.66,14.75,5,1.3125,16,11,16,5.25,1,0.375,6,5,5,141,8,3.5,146,138,138,2.13,0.4,0.1,2.33,1.93,2.1,1.875,1,0.21875,2,1,2,2.875,4,1.15625,4,0,4,10,0,0,10,10,10,3.5,14,5.25,14,0,0,18.25,17,4.875,28,11,16,0.125,1,0.21875,1,0,0,2.375,4,0.96875,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,0.875,4,1,2,30.39541667,18.43333333,4.6590625,34.76333333,16.33,34.76333333,0.232,0.464,0.232,0.464,0,0.464,0,0,0,0,0,0,181.125,73,32.90625,225,152,152,0.102739726,0.157534247,0.547945205,0.191780822,1,0.039210561,0.008038485
Al1.5Si1.5N2.5O1.5,15.03,0.98,4,0.515078754,0.421852899,0.372438275,0.361280942,0.357785481,10,7,3,14,7,7,80.28571429,14,4.102040816,87,73,82,20.23091541,14.0788,6.259374759,28.0855,14.0067,14.0067,595.79,1632.2,612.3814286,1687,54.8,63.05,14.57142857,3,0.918367347,16,13,15,2.428571429,1,0.489795918,3,2,2,89.21428571,55,22.95918367,121,66,71,2.575,1.83,0.702857143,3.44,1.61,3.04,2,0,0,2,2,2,2.571428571,3,0.918367347,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,3,0.918367347,6,3,5,0,0,0,0,0,0,3.428571429,3,0.918367347,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,3,0.918367347,5,2,3,15.13705357,11.335,2.848239796,20.44,9.105,14.76875,2.464571429,6.437,2.83744898,6.437,0,6.437,0,0,0,0,0,0,168.7142857,215,67.16326531,227,12,194,0.4375,0.5625,0,0,1,0.567089816,0.204788952
Al1.67B22,23.8,2,2,0.932120534,0.929582051,0.929447025,0.929446559,0.929446557,5.564427545,8,1.049210477,13,5,5,72.07055344,1,0.13115131,73,72,72,11.95188718,16.1705386,2.120787315,26.9815386,10.811,10.811,2248.200038,1414.53,185.5174621,2348,933.47,2348,13,0,1.78E-15,13,13,13,2.070553443,1,0.13115131,3,2,2,86.6104774,37,4.852598458,121,84,84,2.009662019,0.43,0.056395063,2.04,1.61,2.04,2,0,2.22E-16,2,2,2,1,0,1.11E-16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4.44E-16,3,3,3,0,0,0,0,0,0,5,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,5,5,7.829176172,9.3075,1.220690815,16.48,7.1725,7.1725,1.416476553,1.524,0.199874596,1.524,0,1.524,0,0,0,0,0,0,170.1626531,59,7.73792727,225,166,166,0.666666667,0.333333333,0,0,0,0.045172898,0.005924485
Al3BC3,20.7,0.25,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,8.857142857,8,3.551020408,13,5,9.5,74.57142857,5,2.081632653,77,72,75,18.25538797,16.1705386,7.479557682,26.9815386,10.811,19.4961193,2373.915714,2889.53,1242.072245,3823,933.47,2378.235,13.42857143,1,0.489795918,14,13,13.5,2.428571429,1,0.489795918,3,2,2.5,96.42857143,45,21.06122449,121,76,98.5,2.074285714,0.94,0.407755102,2.55,1.61,2.08,2,0,0,2,2,2,1.428571429,1,0.489795918,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,1,0.489795918,4,3,3.5,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,10.50464286,10.84,5.121734694,16.48,5.64,11.06,2.144571429,4.496,2.015510204,4.496,0,2.248,0,0,0,0,0,0,203.2857143,59,18.6122449,225,166,209.5,0.583333333,0.416666667,0,0,1,0.198203144,0.086049587
Al3BC3,18.2,0.49,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,8.857142857,8,3.551020408,13,5,9.5,74.57142857,5,2.081632653,77,72,75,18.25538797,16.1705386,7.479557682,26.9815386,10.811,19.4961193,2373.915714,2889.53,1242.072245,3823,933.47,2378.235,13.42857143,1,0.489795918,14,13,13.5,2.428571429,1,0.489795918,3,2,2.5,96.42857143,45,21.06122449,121,76,98.5,2.074285714,0.94,0.407755102,2.55,1.61,2.08,2,0,0,2,2,2,1.428571429,1,0.489795918,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,1,0.489795918,4,3,3.5,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,10.50464286,10.84,5.121734694,16.48,5.64,11.06,2.144571429,4.496,2.015510204,4.496,0,2.248,0,0,0,0,0,0,203.2857143,59,18.6122449,225,166,209.5,0.583333333,0.416666667,0,0,1,0.198203144,0.086049587
Al3BC3 ,11.1,10,3,0.622699849,0.543278923,0.492501721,0.473196673,0.459331873,8.857142857,8,3.551020408,13,5,9.5,74.57142857,5,2.081632653,77,72,75,18.25538797,16.1705386,7.479557682,26.9815386,10.811,19.4961193,2373.915714,2889.53,1242.072245,3823,933.47,2378.235,13.42857143,1,0.489795918,14,13,13.5,2.428571429,1,0.489795918,3,2,2.5,96.42857143,45,21.06122449,121,76,98.5,2.074285714,0.94,0.407755102,2.55,1.61,2.08,2,0,0,2,2,2,1.428571429,1,0.489795918,2,1,1.5,0,0,0,0,0,0,0,0,0,0,0,0,3.428571429,1,0.489795918,4,3,3.5,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,0,0,0,0,0,0,0,0,0,0,0,0,4.571428571,1,0.489795918,5,4,4.5,10.50464286,10.84,5.121734694,16.48,5.64,11.06,2.144571429,4.496,2.015510204,4.496,0,2.248,0,0,0,0,0,0,203.2857143,59,18.6122449,225,166,209.5,0.583333333,0.416666667,0,0,1,0.198203144,0.086049587
Al3C2B48,33,1.96,3,0.908211815,0.905755908,0.905660573,0.905660378,0.905660377,5.490566038,8,0.888572446,13,5,5,72.24528302,5,0.444286223,77,72,72,11.7715852,16.1705386,1.739927916,26.9815386,10.811,10.811,2323.592642,2889.53,157.3723745,3823,933.47,2348,13.03773585,1,0.07262371,14,13,13,2.056603774,1,0.106799573,3,2,2,85.79245283,45,3.985760057,121,76,84,2.03490566,0.94,0.048102528,2.55,1.61,2.04,2,0,0,2,2,2,1.037735849,1,0.07262371,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.037735849,1,0.07262371,4,3,3,0,0,0,0,0,0,4.962264151,1,0.07262371,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,4.962264151,1,0.07262371,5,4,5,7.641509434,10.84,1.000583838,16.48,5.64,7.1725,1.549886792,4.496,0.222348167,4.496,0,1.524,0,0,0,0,0,0,170.3962264,59,7.962976148,225,166,166,0.658385093,0.341614907,0,0,0,0.198203144,0.009781338
AlB12,27,1.96,2,0.926276506,0.923254951,0.923077665,0.923076927,0.923076923,5.615384615,8,1.136094675,13,5,5,72.07692308,1,0.142011834,73,72,72,12.05488758,16.1705386,2.296407849,26.9815386,10.811,10.811,2239.19,1414.53,200.88,2348,933.47,2348,13,0,0,13,13,13,2.076923077,1,0.142011834,3,2,2,86.84615385,37,5.25443787,121,84,84,2.006923077,0.43,0.061065089,2.04,1.61,2.04,2,0,0,2,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,3,3,0,0,0,0,0,0,5,0,8.88E-16,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8.88E-16,5,5,5,7.888461538,9.3075,1.321775148,16.48,7.1725,7.1725,1.406769231,1.524,0.216426036,1.524,0,1.524,0,0,0,0,0,0,170.5384615,59,8.378698225,225,166,166,0.666666667,0.333333333,0,0,0,0.045172898,0.006415086
AlMgB14,33.5,0.98,3,0.879452955,0.875212533,0.875000651,0.875000002,0.875,5.9375,8,1.640625,13,5,5,71.8125,5,0.4765625,73,68,72,12.66503366,16.1705386,3.244558909,26.9815386,10.811,10.811,2170.529375,1425,310.5735937,2348,923,2348,12.3125,11,1.2890625,13,2,13,2.125,1,0.21875,3,2,2,89.875,57,10.28125,141,84,84,1.9675,0.73,0.126875,2.04,1.31,2.04,2,0,0,2,2,2,0.9375,1,0.1171875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9375,1,0.1171875,3,2,3,0,0,0,0,0,0,4.6875,5,0.5859375,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4.6875,5,0.5859375,5,0,5,8.7365625,15.7175,2.737109375,22.89,7.1725,7.1725,1.3335,1.524,0.333375,1.524,0,1.524,0,0,0,0,0,0,171.4375,59,9.515625,225,166,166,0.680851064,0.319148936,0,0,0,0.124731865,0.018757152
AlMgB14,28.2,9.8,3,0.879452955,0.875212533,0.875000651,0.875000002,0.875,5.9375,8,1.640625,13,5,5,71.8125,5,0.4765625,73,68,72,12.66503366,16.1705386,3.244558909,26.9815386,10.811,10.811,2170.529375,1425,310.5735937,2348,923,2348,12.3125,11,1.2890625,13,2,13,2.125,1,0.21875,3,2,2,89.875,57,10.28125,141,84,84,1.9675,0.73,0.126875,2.04,1.31,2.04,2,0,0,2,2,2,0.9375,1,0.1171875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9375,1,0.1171875,3,2,3,0,0,0,0,0,0,4.6875,5,0.5859375,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4.6875,5,0.5859375,5,0,5,8.7365625,15.7175,2.737109375,22.89,7.1725,7.1725,1.3335,1.524,0.333375,1.524,0,1.524,0,0,0,0,0,0,171.4375,59,9.515625,225,166,166,0.680851064,0.319148936,0,0,0,0.124731865,0.018757152
AlN,18,0.5,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,10,6,3,13,7,10,77.5,9,4.5,82,73,77.5,20.4941193,12.9748386,6.4874193,26.9815386,14.0067,20.4941193,498.26,870.42,435.21,933.47,63.05,498.26,14,2,1,15,13,14,2.5,1,0.5,3,2,2.5,96,50,25,121,71,96,2.325,1.43,0.715,3.04,1.61,2.325,2,0,0,2,2,2,2,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,3,4,0,0,0,0,0,0,4,2,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,3,4,15.624375,1.71125,0.855625,16.48,14.76875,15.624375,3.2185,6.437,3.2185,6.437,0,3.2185,0,0,0,0,0,0,209.5,31,15.5,225,194,209.5,0.5,0.5,0,0,1,0.400239578,0.200119789
AlN,12.01,0.98,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,10,6,3,13,7,10,77.5,9,4.5,82,73,77.5,20.4941193,12.9748386,6.4874193,26.9815386,14.0067,20.4941193,498.26,870.42,435.21,933.47,63.05,498.26,14,2,1,15,13,14,2.5,1,0.5,3,2,2.5,96,50,25,121,71,96,2.325,1.43,0.715,3.04,1.61,2.325,2,0,0,2,2,2,2,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,3,4,0,0,0,0,0,0,4,2,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,3,4,15.624375,1.71125,0.855625,16.48,14.76875,15.624375,3.2185,6.437,3.2185,6.437,0,3.2185,0,0,0,0,0,0,209.5,31,15.5,225,194,209.5,0.5,0.5,0,0,1,0.400239578,0.200119789
AlSb,4,0.98,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,32,38,19,51,13,32,79,12,6,85,73,79,74.3707693,94.7784614,47.3892307,121.76,26.9815386,74.3707693,918.625,29.69,14.845,933.47,903.78,918.625,14,2,1,15,13,14,4,2,1,5,3,4,130,18,9,139,121,130,1.83,0.44,0.22,2.05,1.61,1.83,2,0,0,2,2,2,2,2,1,3,1,2,5,10,5,10,0,5,0,0,0,0,0,0,9,12,6,15,3,9,0,0,0,0,0,0,4,2,1,5,3,4,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,5,3,4,24.02,15.08,7.54,31.56,16.48,24.02,0,0,0,0,0,0,0,0,0,0,0,0,195.5,59,29.5,225,166,195.5,0.222222222,0.222222222,0.555555556,0,1,0.04724739,0.023623695
Au0.5Pt0.5 ,1.07,9.8,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,78.5,1,0.5,79,78,78.5,64.5,3,1.5,66,63,64.5,196.0252845,1.882569,0.9412845,196.966569,195.084,196.0252845,1689.365,704.07,352.035,2041.4,1337.33,1689.365,10.5,1,0.5,11,10,10.5,6,0,0,6,6,6,136,0,0,136,136,136,2.41,0.26,0.13,2.54,2.28,2.41,1,0,0,1,1,1,0,0,0,0,0,0,9.5,1,0.5,10,9,9.5,14,0,0,14,14,14,24.5,1,0.5,25,24,24.5,1,0,0,1,1,1,0,0,0,0,0,0,0.5,1,0.5,1,0,0.5,0,0,0,0,0,0,1.5,1,0.5,2,1,1.5,15.86,1.68,0.84,16.7,15.02,15.86,0,0,0,0,0,0,0,0,0,0,0,0,225,0,0,225,225,225,0.040816327,0,0.387755102,0.571428571,0,0.016757996,0.008378998
Au0.98Co0.02,0.49,0.25,2,0.98020406,0.980002777,0.980000001,0.98,0.98,77.96,52,2.0384,79,27,79,65.84,8,0.3136,66,58,66,194.2059015,138.033374,5.410908261,196.966569,58.933195,196.966569,1345.9434,430.67,16.882264,1768,1337.33,1337.33,10.96,2,0.0784,11,9,11,5.96,2,0.0784,6,4,6,135.8,10,0.392,136,126,136,2.5268,0.66,0.025872,2.54,1.88,2.54,1.02,1,0.0392,2,1,1,0,0,0,0,0,0,9.94,3,0.1176,10,7,10,13.72,14,0.5488,14,0,14,24.68,16,0.6272,25,9,25,0.98,1,0.0392,1,0,1,0,0,0,0,0,0,0.06,3,0.1176,3,0,0,0,0,0,0,0,0,1.04,2,0.0784,3,1,1,16.5709,6.455,0.253036,16.7,10.245,16.7,0,0,0,0,0,0,0.030969424,1.5484712,0.060700071,1.5484712,0,0,224.38,31,1.2152,225,194,225,0.041329011,0,0.402755267,0.555915721,0,0.103179905,0.004044652
AuSn,1.42,0.49,2,0.707106781,0.629960525,0.574349177,0.552044757,0.535886731,64.5,29,14.5,79,50,64.5,73,14,7,80,66,73,157.8382845,78.256569,39.1282845,196.966569,118.71,157.8382845,921.205,832.25,416.125,1337.33,505.08,921.205,12.5,3,1.5,14,11,12.5,5.5,1,0.5,6,5,5.5,137.5,3,1.5,139,136,137.5,2.25,0.58,0.29,2.54,1.96,2.25,1.5,1,0.5,2,1,1.5,1,2,1,2,0,1,10,0,0,10,10,10,7,14,7,14,0,7,19.5,11,5.5,25,14,19.5,0.5,1,0.5,1,0,0.5,2,4,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,1.5,4,1,2.5,24.9925,16.585,8.2925,33.285,16.7,24.9925,0,0,0,0,0,0,0,0,0,0,0,0,183,84,42,225,141,183,0.076923077,0.051282051,0.512820513,0.358974359,0,0.080660682,0.040330341
AuSn2,2.55,0.49,2,0.745355992,0.693361274,0.670782206,0.667408235,0.666731742,59.66666667,29,12.88888889,79,50,50,75.33333333,14,6.222222222,80,66,80,144.795523,78.256569,34.78069733,196.966569,118.71,118.71,782.4966667,832.25,369.8888889,1337.33,505.08,505.08,13,3,1.333333333,14,11,14,5.333333333,1,0.444444444,6,5,5,138,3,1.333333333,139,136,139,2.153333333,0.58,0.257777778,2.54,1.96,1.96,1.666666667,1,0.444444444,2,1,2,1.333333333,2,0.888888889,2,0,2,10,0,0,10,10,10,4.666666667,14,6.222222222,14,0,0,17.66666667,11,4.888888889,25,14,14,0.333333333,1,0.444444444,1,0,0,2.666666667,4,1.777777778,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.333333333,4,1,4,27.75666667,16.585,7.371111111,33.285,16.7,33.285,0,0,0,0,0,0,0,0,0,0,0,0,169,84,37.33333333,225,141,141,0.094339623,0.075471698,0.566037736,0.264150943,0,0.080660682,0.035849192
AuSn4,0.74,0.49,2,0.824621125,0.804145152,0.800156189,0.800006975,0.800000076,55.8,29,9.28,79,50,50,77.2,14,4.48,80,66,80,134.3613138,78.256569,25.04210208,196.966569,118.71,118.71,671.53,832.25,266.32,1337.33,505.08,505.08,13.4,3,0.96,14,11,14,5.2,1,0.32,6,5,5,138.4,3,0.96,139,136,139,2.076,0.58,0.1856,2.54,1.96,1.96,1.8,1,0.32,2,1,2,1.6,2,0.64,2,0,2,10,0,0,10,10,10,2.8,14,4.48,14,0,0,16.2,11,3.52,25,14,14,0.2,1,0.32,1,0,0,3.2,4,1.28,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3.4,3,0.96,4,1,4,29.968,16.585,5.3072,33.285,16.7,33.285,0,0,0,0,0,0,0,0,0,0,0,0,157.8,84,26.88,225,141,141,0.111111111,0.098765432,0.617283951,0.172839506,0,0.080660682,0.025811418
AuTiAl,3.58,0.98,3,0.577350269,0.480749857,0.415243647,0.389976938,0.372041058,38,66,27.33333333,79,13,38,60.66666667,30,11.77777778,73,43,60.66666667,90.60503587,169.9850304,70.90768876,196.966569,26.9815386,90.60503587,1403.933333,1007.53,358.0444444,1941,933.47,1403.933333,9.333333333,9,3.555555556,13,4,9.333333333,4.333333333,3,1.111111111,6,3,4.333333333,139,39,14,160,121,139,1.896666667,1,0.428888889,2.54,1.54,1.896666667,1.666666667,1,0.444444444,2,1,1.666666667,0.333333333,1,0.444444444,1,0,0.333333333,4,10,4,10,0,4,4.666666667,14,6.222222222,14,0,4.666666667,10.66666667,22,9.555555556,25,3,10.66666667,0.333333333,1,0.444444444,1,0,0.333333333,1.666666667,5,2.222222222,5,0,1.666666667,2.666666667,8,3.555555556,8,0,2.666666667,0,0,0,0,0,0,4.666666667,7,2.444444444,8,1,4.666666667,16.62333333,0.22,0.095555556,16.7,16.48,16.62333333,0,0,0,0,0,0,7.51E-06,2.25E-05,1.00E-05,2.25E-05,0,7.51E-06,214.6666667,31,13.77777778,225,194,214.6666667,0.15625,0.03125,0.375,0.4375,0,0.221199217,0.092637652
AuV3 ,8.83,0.49,2,0.790569415,0.759147243,0.75061627,0.750048981,0.75000127,37,56,21,79,23,23,51,20,7.5,66,46,46,87.44776725,146.025069,54.75940088,196.966569,50.9415,50.9415,1971.5825,845.67,317.12625,2183,1337.33,2183,6.5,6,2.25,11,5,5,4.5,2,0.75,6,4,4,148.75,17,6.375,153,136,153,1.8575,0.91,0.34125,2.54,1.63,1.63,1.75,1,0.375,2,1,2,0,0,0,0,0,0,4.75,7,2.625,10,3,3,3.5,14,5.25,14,0,0,10,20,7.5,25,5,5,0.25,1,0.375,1,0,0,0,0,0,0,0,0,5.25,7,2.625,7,0,7,0,0,0,0,0,0,5.5,6,2.25,7,1,7,13.9325,3.69,1.38375,16.7,13.01,13.01,0,0,0,0,0,0,0,0,0,0,0,0,228,4,1.5,229,225,229,0.175,0,0.475,0.35,0,0.187000675,0.070125253
B13N2,44.384,0.49,2,0.876863096,0.867717332,0.866681605,0.866666919,0.866666667,5.266666667,2,0.462222222,7,5,5,73.33333333,10,2.311111111,82,72,72,11.23709333,3.1957,0.738561778,14.0067,10.811,10.811,2043.34,2284.95,528.0773333,2348,63.05,2348,13.26666667,2,0.462222222,15,13,13,2,0,0,2,2,2,82.26666667,13,3.004444444,84,71,84,2.173333333,1,0.231111111,3.04,2.04,2.04,2,0,0,2,2,2,1.266666667,2,0.462222222,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.266666667,2,0.462222222,5,3,3,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,8.185333333,7.59625,1.755577778,14.76875,7.1725,7.1725,2.179066667,4.913,1.135448889,6.437,1.524,1.524,0,0,0,0,0,0,169.7333333,28,6.471111111,194,166,166,0.612244898,0.387755102,0,0,0,0.221199217,0.051121597
B13N2,42.019435,0.98,2,0.876863096,0.867717332,0.866681605,0.866666919,0.866666667,5.266666667,2,0.462222222,7,5,5,73.33333333,10,2.311111111,82,72,72,11.23709333,3.1957,0.738561778,14.0067,10.811,10.811,2043.34,2284.95,528.0773333,2348,63.05,2348,13.26666667,2,0.462222222,15,13,13,2,0,0,2,2,2,82.26666667,13,3.004444444,84,71,84,2.173333333,1,0.231111111,3.04,2.04,2.04,2,0,0,2,2,2,1.266666667,2,0.462222222,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.266666667,2,0.462222222,5,3,3,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,8.185333333,7.59625,1.755577778,14.76875,7.1725,7.1725,2.179066667,4.913,1.135448889,6.437,1.524,1.524,0,0,0,0,0,0,169.7333333,28,6.471111111,194,166,166,0.612244898,0.387755102,0,0,0,0.221199217,0.051121597
B13N2,41.6932,1.96,2,0.876863096,0.867717332,0.866681605,0.866666919,0.866666667,5.266666667,2,0.462222222,7,5,5,73.33333333,10,2.311111111,82,72,72,11.23709333,3.1957,0.738561778,14.0067,10.811,10.811,2043.34,2284.95,528.0773333,2348,63.05,2348,13.26666667,2,0.462222222,15,13,13,2,0,0,2,2,2,82.26666667,13,3.004444444,84,71,84,2.173333333,1,0.231111111,3.04,2.04,2.04,2,0,0,2,2,2,1.266666667,2,0.462222222,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.266666667,2,0.462222222,5,3,3,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,8.185333333,7.59625,1.755577778,14.76875,7.1725,7.1725,2.179066667,4.913,1.135448889,6.437,1.524,1.524,0,0,0,0,0,0,169.7333333,28,6.471111111,194,166,166,0.612244898,0.387755102,0,0,0,0.221199217,0.051121597
B13N2,40.97,3.92,2,0.876863096,0.867717332,0.866681605,0.866666919,0.866666667,5.266666667,2,0.462222222,7,5,5,73.33333333,10,2.311111111,82,72,72,11.23709333,3.1957,0.738561778,14.0067,10.811,10.811,2043.34,2284.95,528.0773333,2348,63.05,2348,13.26666667,2,0.462222222,15,13,13,2,0,0,2,2,2,82.26666667,13,3.004444444,84,71,84,2.173333333,1,0.231111111,3.04,2.04,2.04,2,0,0,2,2,2,1.266666667,2,0.462222222,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.266666667,2,0.462222222,5,3,3,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4.733333333,2,0.462222222,5,3,5,8.185333333,7.59625,1.755577778,14.76875,7.1725,7.1725,2.179066667,4.913,1.135448889,6.437,1.524,1.524,0,0,0,0,0,0,169.7333333,28,6.471111111,194,166,166,0.612244898,0.387755102,0,0,0,0.221199217,0.051121597
